"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.64? Tell 192.168.31.1"
"2","0.000016381","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.65? Tell 192.168.31.1"
"3","0.000020099","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.66? Tell 192.168.31.1"
"4","0.000023646","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.67? Tell 192.168.31.1"
"5","0.000027176","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.68? Tell 192.168.31.1"
"6","0.102596500","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.69? Tell 192.168.31.1"
"7","0.102616208","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.70? Tell 192.168.31.1"
"8","0.102621083","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.71? Tell 192.168.31.1"
"9","0.102625856","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.72? Tell 192.168.31.1"
"10","0.102630574","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.73? Tell 192.168.31.1"
"11","0.102635236","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.74? Tell 192.168.31.1"
"12","0.205184731","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.75? Tell 192.168.31.1"
"13","0.205205203","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.76? Tell 192.168.31.1"
"14","0.205210270","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.77? Tell 192.168.31.1"
"15","0.205214962","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.78? Tell 192.168.31.1"
"16","0.205219668","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.79? Tell 192.168.31.1"
"17","0.205224334","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.80? Tell 192.168.31.1"
"18","0.307287461","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.81? Tell 192.168.31.1"
"19","0.307307698","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.82? Tell 192.168.31.1"
"20","0.307312690","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.83? Tell 192.168.31.1"
"21","0.307317467","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.84? Tell 192.168.31.1"
"22","0.307322232","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.85? Tell 192.168.31.1"
