"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.31.108","104.18.9.39","TLSv1.2","93","Application Data"
"2","0.025010374","104.18.9.39","192.168.31.108","TLSv1.2","93","Application Data"
"3","0.025057560","192.168.31.108","104.18.9.39","TCP","54","36334  >  443 [ACK] Seq=40 Ack=40 Win=501 Len=0"
"4","3.001117477","192.168.31.108","151.101.193.69","TLSv1.2","112","Application Data"
"5","3.042335178","151.101.193.69","192.168.31.108","TLSv1.2","112","Application Data"
"6","3.042369513","192.168.31.108","151.101.193.69","TCP","66","45104  >  443 [ACK] Seq=47 Ack=47 Win=501 Len=0 TSval=3822079235 TSecr=1390548892"
"7","5.071588630","BeijingX_e6:af:ba","IntelCor_d4:6f:1b","ARP","42","Who has 192.168.31.108? Tell 192.168.31.1"
"8","5.071607585","IntelCor_d4:6f:1b","BeijingX_e6:af:ba","ARP","42","192.168.31.108 is at 44:85:00:d4:6f:1b"
"9","6.197915156","140.82.114.26","192.168.31.108","TLSv1.2","92","Application Data"
"10","6.198143271","192.168.31.108","140.82.114.26","TLSv1.2","96","Application Data"
"11","6.402702117","140.82.114.26","192.168.31.108","TCP","66","443  >  59868 [ACK] Seq=27 Ack=31 Win=70 Len=0 TSval=699163461 TSecr=1966715365"
"12","19.405230379","BeijingX_e6:af:ba","Broadcast","ARP","42","ARP Announcement for 192.168.31.1"
"13","19.405253924","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.2? Tell 192.168.31.1"
"14","19.405259899","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.3? Tell 192.168.31.1"
"15","19.508005013","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.4? Tell 192.168.31.1"
"16","19.508027260","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.5? Tell 192.168.31.1"
"17","19.508032897","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.6? Tell 192.168.31.1"
"18","19.508038215","BeijingX_e6:af:ba","Broadcast","ARP","42","Who has 192.168.31.7? Tell 192.168.31.1"
